,RBQ,RQ,PI,BI,ABQ,ID,ED,AQ,EI,OOQ,OQ,BO,LEAD_TIME
0,0,4,12,16,0,4,4,4,12,4,13,0,2
1,0,4,12,16,0,14,6,14,2,17,5,0,2
2,0,4,2,6,0,4,5,4,2,18,2,0,2
3,0,13,2,15,0,10,6,10,5,7,19,0,2
4,0,5,5,10,0,13,7,10,-3,21,6,3,2
5,0,2,-3,2,2,5,6,0,-6,25,13,6,2
6,0,19,-6,19,6,3,5,3,10,19,6,0,2
7,0,4,10,14,0,13,7,13,1,19,7,0,2
8,2,9,1,12,0,10,7,10,2,13,16,0,2
9,4,6,2,12,0,11,8,11,1,23,11,0,2
10,0,7,1,8,0,9,8,8,-1,27,6,1,2
11,0,16,-1,16,1,8,8,8,7,17,9,0,2
12,0,11,7,18,0,7,7,7,11,15,10,0,2
13,0,4,11,15,0,9,7,9,6,19,13,0,2
14,2,9,6,17,0,10,7,10,7,23,7,0,2
15,0,10,7,17,0,11,8,11,6,20,8,0,2
16,0,13,6,19,0,13,9,13,6,15,9,0,2
17,0,7,6,13,0,3,7,3,10,17,3,0,2
18,0,8,10,18,0,7,7,7,11,12,9,0,2
19,0,7,11,18,0,9,7,9,9,12,12,0,2
20,2,3,9,14,0,11,8,11,3,21,11,0,2
21,0,9,3,12,0,11,8,11,1,23,9,0,2
22,0,12,1,13,0,11,8,11,2,20,9,0,2
23,0,11,2,13,0,9,8,9,4,18,11,0,2
24,0,9,4,13,0,8,8,8,5,20,5,0,2
25,0,9,5,14,0,6,7,6,8,16,7,0,2
26,0,10,8,18,0,11,8,11,7,12,11,0,2
27,1,5,7,13,0,11,8,11,2,18,10,0,2
28,0,7,2,9,0,10,8,9,-1,21,10,1,2
29,0,11,-1,11,1,9,8,9,1,20,10,0,2
30,0,10,1,11,0,9,8,9,2,20,7,0,2
31,0,10,2,12,0,5,7,5,7,17,2,0,2
32,0,8,7,15,0,8,7,8,7,9,5,0,2
33,2,7,7,16,0,11,8,11,5,7,10,0,2
34,0,2,5,7,0,6,7,6,1,15,12,0,2
