,RBQ,RQ,PI,BI,ABQ,ID,ED,AQ,EI,OOQ,OQ,BO,LEAD_TIME
0,0,4,12,16,0,4,4,4,12,4,12,0,2
1,0,4,12,16,0,13,6,13,3,16,7,0,2
2,0,4,3,7,0,5,5,5,2,19,4,0,2
3,0,12,2,14,0,2,4,2,12,11,11,0,2
4,0,7,12,19,0,19,7,19,0,15,20,0,2
5,0,4,0,4,0,6,6,4,-2,31,10,2,2
6,0,11,-2,11,2,13,7,9,-4,30,3,4,2
7,0,20,-4,20,4,6,6,6,10,13,14,0,2
8,0,10,10,20,0,7,6,7,13,17,1,0,2
9,0,3,13,16,0,16,8,16,0,15,15,0,2
10,0,14,0,14,0,11,8,11,3,16,16,0,2
11,0,1,3,4,0,6,7,4,-2,31,5,2,2
12,0,15,-2,15,2,9,7,9,4,21,7,0,2
13,0,16,4,20,0,10,7,10,10,12,7,0,2
14,0,5,10,15,0,13,8,13,2,14,6,0,2
15,0,7,2,9,0,7,7,7,2,13,5,0,2
16,0,7,2,9,0,8,7,8,1,11,13,0,2
17,0,6,1,7,0,9,7,7,-2,18,16,2,2
18,0,5,-2,5,2,3,6,3,0,29,6,0,2
19,0,13,0,13,0,9,6,9,4,22,11,0,2
20,0,16,4,20,0,12,7,12,8,17,6,0,2
21,0,6,8,14,0,11,8,11,3,17,8,0,2
22,0,11,3,14,0,9,8,9,5,14,8,0,2
23,0,6,5,11,0,9,8,9,2,16,12,0,2
24,0,8,2,10,0,11,8,10,-1,20,12,1,2
25,0,8,-1,8,1,5,7,5,2,24,5,0,2
26,0,12,2,14,0,7,7,7,7,17,9,0,2
27,0,12,7,19,0,11,8,11,8,14,6,0,2
28,0,5,8,13,0,10,8,10,3,15,10,0,2
29,0,9,3,12,0,10,8,10,2,16,8,0,2
30,0,6,2,8,0,10,8,8,-2,18,11,2,2
31,0,10,-2,10,2,7,7,7,1,19,9,0,2
32,0,8,1,9,0,2,5,2,7,20,4,0,2
33,0,11,7,18,0,5,5,5,13,13,2,0,2
34,0,9,13,22,0,10,6,10,12,6,12,0,2
