,RBQ,RQ,PI,BI,ABQ,ID,ED,AQ,EI,OOQ,OQ,BO,LEAD_TIME
0,0,4,12,16,0,15,15,15,1,4,15,0,2
1,0,4,1,5,0,10,13,5,-5,19,6,5,0
2,0,10,-5,10,5,8,11,5,-3,15,1,3,2
3,0,15,-3,15,3,14,11,12,-2,1,17,2,4
4,0,0,-2,0,0,9,10,0,-11,18,12,11,4
5,0,1,-11,1,1,3,8,0,-13,29,5,13,4
6,0,0,-13,0,0,13,9,0,-26,34,10,26,0
7,8,0,-26,8,8,2,7,0,-20,34,2,20,2
8,0,15,-20,15,15,13,8,0,-18,19,5,18,4
9,2,8,-18,10,10,11,8,0,-19,12,16,19,1
10,10,0,-19,10,10,3,6,0,-12,21,5,12,1
11,0,14,-12,14,12,4,5,2,-2,10,7,2,0
12,2,12,-2,14,2,6,5,6,6,5,12,0,0
13,3,17,6,26,0,11,6,11,15,0,12,0,1
14,0,0,15,15,0,15,8,15,0,12,13,0,1
15,0,12,0,12,0,12,9,12,0,13,4,0,0
16,0,17,0,17,0,15,10,15,2,0,9,0,1
17,0,0,2,2,0,4,8,2,-2,9,14,2,1
18,0,9,-2,9,2,12,9,7,-5,14,13,5,2
19,0,14,-5,14,5,3,7,3,6,13,2,0,1
20,0,0,6,6,0,13,8,6,-7,15,18,7,1
21,0,15,-7,15,7,10,8,8,-2,18,9,2,1
22,0,18,-2,18,2,15,9,15,1,9,6,0,4
23,0,9,1,10,0,15,10,10,-5,6,11,5,2
24,0,0,-5,0,0,3,8,0,-8,17,3,8,2
25,0,0,-8,0,0,11,8,0,-19,20,5,19,1
26,0,7,-19,7,7,1,6,0,-13,14,5,13,4
27,3,6,-13,9,9,13,7,0,-17,5,15,17,3
28,0,0,-17,0,0,10,7,0,-27,20,6,27,4
29,0,0,-27,0,0,10,7,0,-37,26,8,37,1
30,0,0,-37,0,0,0,5,0,-37,34,6,37,4
31,9,2,-37,11,11,0,3,0,-26,12,10,26,0
32,5,0,-26,5,5,8,4,0,-29,12,2,29,3
33,0,0,-29,0,0,0,3,0,-29,8,8,29,3
34,0,0,-29,0,0,14,5,0,-43,16,12,43,4
