,RBQ,RQ,PI,BI,ABQ,ID,ED,AQ,EI,OOQ,OQ,BO,LEAD_TIME
0,0,4,12,16,0,4,4,4,12,4,9,0,2
1,0,4,12,16,0,15,6,15,1,13,8,0,0
2,0,12,1,13,0,6,6,6,7,9,10,0,2
3,0,9,7,16,0,1,4,1,15,10,10,0,4
4,0,0,15,15,0,17,7,15,-2,20,8,2,4
5,0,10,-2,10,2,12,8,8,-4,18,8,4,4
6,0,0,-4,0,0,5,7,0,-9,26,5,9,0
7,3,5,-9,8,8,10,7,0,-11,26,9,11,2
8,0,10,-11,10,10,2,5,0,-3,25,1,3,4
9,0,8,-3,8,3,5,5,5,0,18,14,0,1
10,0,14,0,14,0,16,7,14,-2,15,9,2,1
11,0,14,-2,14,2,5,6,5,7,10,5,0,0
12,0,14,7,21,0,7,6,7,14,1,16,0,0
13,0,17,14,31,0,12,7,12,19,0,19,0,1
14,0,0,19,19,0,12,8,12,7,19,2,0,1
15,0,19,7,26,0,13,9,13,13,2,9,0,0
16,0,11,13,24,0,4,7,4,20,0,6,0,1
17,0,0,20,20,0,9,7,9,11,6,15,0,1
18,0,6,11,17,0,14,8,14,3,15,6,0,2
19,0,15,3,18,0,13,9,13,5,6,14,0,1
20,0,0,5,5,0,2,7,2,3,20,7,0,1
21,0,20,3,23,0,18,9,18,5,7,10,0,1
22,0,7,5,12,0,9,9,9,3,10,2,0,4
23,0,10,3,13,0,6,8,6,7,2,9,0,2
24,0,0,7,7,0,11,8,7,-4,11,10,4,2
25,0,0,-4,0,0,3,6,0,-7,21,4,7,1
26,0,3,-7,3,3,5,5,0,-9,16,6,9,4
27,9,2,-9,11,9,5,5,2,-3,6,15,3,3
28,0,0,-3,0,0,15,7,0,-18,21,9,18,4
29,0,0,-18,0,0,6,6,0,-24,30,4,24,1
30,0,0,-24,0,0,8,6,0,-32,34,0,32,4
31,11,21,-32,32,32,6,6,0,-6,9,5,6,0
32,0,5,-6,5,5,10,7,0,-11,9,16,11,3
33,0,8,-11,8,8,2,5,0,-5,16,10,5,3
34,0,0,-5,0,0,8,5,0,-13,26,6,13,4
